headline,place,link,author,tag,time
headline,place,link,author,tag,time
AP Top News,"JAKARTA, Indonesia ",https://apnews.com/55ebceadd2704093ad6b221e76d06b49,By NINIEK KARMINI,AP Top News,5-Nov-18
"Grief, anger overflow as families confront a silent Lion Air","Rusdi Kirana, the co-founder, was not invited to speak by Transport Minister ...",https://apnews.com/e4d3aaf8fc394cb0854ddc8e23839644,By ALMUDENA CALATRAVA,Caribbean,5-Nov-18
Argentina__ Fernandez still inspires loyalty among many,"BUENOS AIRES, Argentina ",https://apnews.com/5f03e533a2a043098bab9c8dbb72291d,,Illegal immigration,5-Nov-18
"The Latest: Trump, Obama give closing arguments for midterms",WASHINGTON ,https://apnews.com/3567d70b20c847ed9c9fd68e525a1283,By MARI YAMAGUCHI,AP Top News,5-Nov-18
Writer Haruki Murakami plans archive at Japanese university,8:35 p.m.,https://apnews.com/0de14be497384a4aa7fea1835053e9ad,By BILL BARROW and FRANK BAJAK,Stacey Abrams,5-Nov-18
"In Georgia, 11th-hour daggers over voting system","President Donald Trump is urging voters in Tennessee and Georgia to back Republicans in statewide races, warning that Democrats want to destroy the country with high taxes and illegal immigration as ...",https://apnews.com/503cf6426f1f4e23a8bae72fe3ad9743,By NICHOLAS RICCARDI,Martha McSally,5-Nov-18
Campaigns make final push to galvanize voters for midterms,TOKYO ,https://apnews.com/de0abc4699bf40c9b8e79a753f6e2bdd,,Chippewa Falls,5-Nov-18
"Wisconsin town mourns 3 Girl Scouts, 1 adult killed in crash",____ more than happy if those materials ...,https://apnews.com/0279e040db99451ca8f3b9b277b9b85b,By BRIAN SLODYSKO and SARA BURNETT,AP Top News,5-Nov-18
"Obama praises Donnelly, says voters don__ want __ yes man_",ATLANTA ,https://apnews.com/d12be31914c04c6ba4b66c5c112da59f,By SONIA PEREZ D. and MARK STEVENSON,AP Top News,5-Nov-18
Migrant caravan sets sight on getting to Mexico City,"TEMPE, Ariz. ",https://apnews.com/4e9dc71a67494374b52c234ecc435143,By KEN THOMAS,AP Top News,5-Nov-18
"Obama, Trump offer dueling final pitches to midterm voters","LAKE HALLIE, Wis. ",https://apnews.com/f4d231f3a56c4156a06650245215f92d,By NOMAAN MERCHANT,AP Top News,5-Nov-18
Migrants camped at border worry caravans will shut them out,Authorities have not released the ...,https://apnews.com/26e55a84885a4224922c1891b413a9ad,By ZEKE MILLER and JILL COLVIN,Chattanooga,5-Nov-18
Trump says he__ focused on Senate with 2 days until midterms,"GARY, Ind. ",https://apnews.com/d17be963137b4445916ba185aed9df82,,Afghanistan,5-Nov-18
"Utah mayor, guard member killed by trainee in Afghanistan",Donnelly has sounded more like President Donald Trump ...,https://apnews.com/6a634a5ce03c4c46a0e4a4c7d9f4bdb0,,AP Top News,5-Nov-18
Air Force mascot falcon improving after injury at West Point,"CORDOBA, Mexico ",https://apnews.com/877c37d98203426ea222ddf20071f92d,By ANGELA CHARLTON,AP Top News,4-Nov-18
Why it__ still in Russia__ interest to mess with US politics,"An estimated 4,000 migrants are in ...",https://apnews.com/6246e5cca4914723b01c2d965b70df36,By JOSEF FEDERMAN,AP Top News,4-Nov-18
Stone throwers face different fates around the globe,WASHINGTON ,https://apnews.com/e5e3412736714ff9b8b886c67c9c0988,By GARY FINEOUT and TAMARA LUSH,AP Top News,4-Nov-18
Man says he wrestled with gunman during yoga studio shooting,Obama and Trump offered competing visions for the country in a split ...,https://apnews.com/03153118747b4acd8aca437e244e749e,By JULIE PACE,AP Top News,4-Nov-18
"Analysis: Dems whiffed in 2016, so what if they fail again?","MATAMOROS, Mexico ",https://apnews.com/0eae130cf54a4f0785054a359ebe9ebc,By RALPH D. RUSSO,AP Top News,4-Nov-18
AP Top 25: West Virginia up to 7 after 10 ranked teams lose,Alvarez and about two dozen other people are waiting in ...,https://apnews.com/a1665b20f0834168a6fba796d5ea244d,By TOM HAYS,AP Top News,4-Nov-18
Reputation precedes __l Chapo_ as US trial approaches,"CHATTANOOGA, Tenn. ",https://apnews.com/27bbb80f33fd404e9b8d95efd34e9fb1,By COLLIN BINKLEY,Religion,4-Nov-18
Synagogue shooting worst of many hateful attacks in October,Speaking to reporters as he left the White ...,https://apnews.com/cf482ff953ef403e99b9bdf6baf6675d,By CHARLOTTE ANTOINE,New Caledonia,4-Nov-18
Voters in Pacific territory choose to keep ties with France,"NORTH OGDEN, Utah ",https://apnews.com/29359f3ffd0a410a962a31abe0ad140f,,Shootings,4-Nov-18
Jewish nurse: I treated mass shooting suspect out of love,"Brent Taylor, 39, had taken a yearlong leave of absence as mayor of North Ogden north of Salt Lake ...",https://apnews.com/c57186c10daf43c99087a52743af9945,By WILL WEISSERT,AP Top News,4-Nov-18
"Win or lose, Cruz and O__ourke may remain political forces","AIR FORCE ACADEMY, Colo. ",https://apnews.com/2f41f82f1d1e40189057c229dcea1906,By DAVID RISING,AP Top News,4-Nov-18
"WWI centenary to be marked in London and Paris, not Berlin",The 22-year-old bird named Aurora __as able to fly around in her pen_ on ...,https://apnews.com/1bd28b99d72246c185b1aaf66d1d4939,By ZEKE MILLER and CATHERINE LUCEY,AP Top News,4-Nov-18
Trump presidency faces high stakes in midterm elections,PARIS ,https://apnews.com/ea0b03390c2348cf9cca138db2852b07,,AP Top News,4-Nov-18
The Latest: Trump says Democrats have a __recking ball_,U.S. officials and tech companies say Russians have continued online ,https://apnews.com/77a95b805a084aa2bba9dd4b26676f4d,By RYAN PEARSON,AP Top News,3-Nov-18
"__antastic Beasts_ stars: Grindelwald isn__ Trump, exactly",JERUSALEM ,https://apnews.com/c8c8d9a7040543f6807f0b9e66d9dd88,By ANDREW DALTON,Entertainment,3-Nov-18
